Input Size,reverse,random,pre-sorted
0,3.5620073322206735e-06,2.8079980984330178e-06,3.7640018854290246e-06
50,8.318002801388503e-06,6.633993471041322e-06,9.578003082424402e-06
100,2.3824002128094434e-05,9.54200280830264e-06,3.0235995072871447e-05
150,4.375600372441113e-05,1.0143996914848686e-05,5.640000104904175e-05
200,7.095400243997574e-05,1.3540004147216678e-05,9.493000106886029e-05
250,0.00010855600121431052,1.7557998653501272e-05,0.0001447559951338917
300,0.00015482000540941953,2.108400105498731e-05,0.0002181980002205819
350,0.0002524939982686192,2.5442000478506088e-05,0.00032723200041800737
400,0.0003237639996223152,2.9778002062812447e-05,0.00039049399783834814
450,0.0003391360049135983,3.828800399787724e-05,0.00048051399760879577
500,0.00041900800657458605,4.6684001572430136e-05,0.0005816880008205771
550,0.0005077420000452549,4.2536002583801744e-05,0.0006993720063474029
600,0.0006032400019466877,4.617999889887869e-05,0.0008351079956628382
650,0.0007046619977336377,5.0360000459477304e-05,0.0009692099958192557
700,0.0008235080039594322,5.4835998453199865e-05,0.0011214300058782101
750,0.0009585780021734536,5.9080005157738925e-05,0.0012842579977586865
800,0.0010750119993463158,6.46100053563714e-05,0.0014786420052405446
850,0.0012016459996812045,6.789400125853718e-05,0.001636557998135686
900,0.0013506959984079003,7.177400286309421e-05,0.00183731600176543
950,0.0015054559975396843,7.702600443735718e-05,0.002047106004320085
1000,0.0016566120006609709,8.149600587785244e-05,0.0022809340001549573
1050,0.0018431400030385703,8.556399843655527e-05,0.002508031994802877
1100,0.002012918000109494,9.186999290250242e-05,0.0027461200044490396
1150,0.002205237994203344,9.71800007391721e-05,0.0029718039929866793
1200,0.0024112679972313343,0.0001006539969239384,0.003247787997825071
1250,0.0026362959994003176,0.00010367999551817775,0.003511817998951301
1300,0.0028182980010751633,0.00010909999953582883,0.0038109160005114972
1350,0.00302354600164108,0.00011523200199007988,0.0040840739978011695
1400,0.003234016001224518,0.00011752199847251177,0.004426440002862364
1450,0.003480314001208171,0.00012327999575063587,0.00470264199655503
1500,0.00373928599874489,0.00012673799530602993,0.005028500000480563
1550,0.0039436739997472615,0.00013250799849629403,0.005377743999706581
1600,0.0041956700012087825,0.0001364719949197024,0.005723703998373821
1650,0.004462331997929141,0.00014124599983915686,0.006117843994870782
1700,0.004734087996184826,0.00015043599531054498,0.006485423996346071
1750,0.0050447060039732605,0.0001549800008069724,0.006831128002377227
1800,0.00532440600101836,0.00015659200493246318,0.007242699996568263
1850,0.005623256005346775,0.00016184600070118905,0.007622714003082365
1900,0.005898535995511338,0.00016738199978135525,0.008031175995711237
1950,0.006251023996155709,0.00017175400047563015,0.008578653995646163
2000,0.006576998002128675,0.00017945399624295534,0.008981259994907304
2050,0.006905276004690677,0.00018208000692538918,0.009442951995879412
2100,0.007203619999345392,0.00019144800258800388,0.009921875997679307
2150,0.007610993998823688,0.000196410003118217,0.01038724600104615
2200,0.007984378000255674,0.00019978400552645326,0.010858294002246112
2250,0.00826182400691323,0.00020662399823777376,0.011380426002433523
2300,0.00868389399955049,0.00020893600070849062,0.011897999997017905
2350,0.009071370000019669,0.00021424400387331843,0.012385894000763073
2400,0.009444875997724011,0.00022003999445587396,0.012964778002351523
2450,0.009843290006974712,0.0002267240022774786,0.013489050013013183
2500,0.010227678004885093,0.00023178600007668138,0.014071737993508577
2550,0.01061804199940525,0.00023565800045616925,0.014577840002020821
2600,0.011017120002070441,0.0002372839965391904,0.01522028400679119
2650,0.011566422001924365,0.00024213399738073348,0.015781010002829134
2700,0.011908567998325452,0.00024815000011585653,0.01633388000074774
2750,0.012382081997347996,0.0002540900011081249,0.016969820000231266
2800,0.012780658003175632,0.0002605880028568208,0.01757437999593094
2850,0.013305149999214337,0.0002616319991648197,0.01821326200151816
2900,0.013875017998507246,0.00026676200213842093,0.01900239400099963
2950,0.014296360000735149,0.0002706139930523932,0.01954003400169313
3000,0.014676451997365803,0.0002778719982597977,0.020375276007689534
3050,0.015189836004283279,0.00028502200031653045,0.021063792001223193
3100,0.01569176999502815,0.00029144599684514103,0.021567301998147742
3150,0.016190757998265325,0.00029080200125463306,0.022267381998244674
3200,0.016737714001210408,0.00029903599875979125,0.02303839200409129
3250,0.01727924999780953,0.00030583400279283524,0.02386308800196275
3300,0.017743533999891953,0.00030778200016357005,0.024654348000185563
3350,0.01832910200464539,0.0003126800013706088,0.025369230004725976
3400,0.01886857800069265,0.0003180039988365024,0.026045979998307302
3450,0.01937916800030507,0.00032577799633145334,0.026936773997731506
3500,0.020318846000591292,0.0003273820038884878,0.027600689998362214
3550,0.020551775997737422,0.00033427600399591026,0.02828688799752854
3600,0.021189391994848848,0.00033815599512308835,0.02915373200317845
3650,0.021792783996788787,0.00034292999422177675,0.02994811999727972
3700,0.022475053997477516,0.00034771799808368085,0.030801799995824695
3750,0.023038784000091253,0.0003523939952719957,0.03159956399584189
3800,0.023629830002319066,0.00036183399497531356,0.03237452199566178
3850,0.0242733920016326,0.0003644539962988347,0.0333424040034879
3900,0.024914340004324912,0.00036855599959380927,0.03402613200014457
3950,0.025532619999721645,0.00037571599707007406,0.03492707200231962
4000,0.026228449994232506,0.00038295799400657417,0.035827491997042674
4050,0.027037668001139537,0.00038739599986001847,0.03715374799678102
4100,0.027544315996346994,0.0003934399934951216,0.03759433599421755
4150,0.028305806000716985,0.0003983960021287203,0.03851864200201817
4200,0.02933510800357908,0.0004008959990460426,0.03948752999654971
4250,0.02986907599377446,0.0004073999961838126,0.04033677600440569
4300,0.03047080600168556,0.00040966600412502887,0.041311193995643404
4350,0.030999192000599578,0.00042049599927850066,0.042205476003000515
4400,0.031886045999126506,0.00042242399882525206,0.0432450420036912
4450,0.03255090800113976,0.00042962399777024985,0.0441759519930929
4500,0.033274085999000814,0.0004328580026049167,0.04527354599907994
4550,0.033859625997720286,0.0004378500045277178,0.0460449980001431
4600,0.034678595998557285,0.0004486979986540973,0.047167648007161916
4650,0.03582872400060296,0.00044928000192157925,0.048215653999941425
4700,0.03634263800340705,0.00045758399879559876,0.049298976003192364
4750,0.03701185400248505,0.00046647200360894203,0.05025447800057009
4800,0.03782933600363322,0.0004720259981695563,0.051269486004021016
4850,0.038488423994276676,0.00047596799558959904,0.05247868799953721
4900,0.03935928200138733,0.0004754919931292534,0.05347659399732947
4950,0.040268127997405825,0.0004865819995757192,0.05462034800439142
5000,0.041336171998409554,0.0004893119970802218,0.05575182400061749
5050,0.0418013939994853,0.0005020019982475787,0.05677695600432344
5100,0.042388278000289575,0.0005045620037708432,0.058154080002568664
5150,0.04360360000282526,0.0005063700047321617,0.059118184007238596
5200,0.044468930000439284,0.0005126480013132095,0.06038224199903198
5250,0.044978096000850204,0.0005232380039524288,0.061641223998740315
5300,0.04592759800027125,0.0005282439989969135,0.06278575800126418
5350,0.046890561990439894,0.0005266400030814111,0.06391371600795537
5400,0.047407050000038,0.0005385800031945109,0.0651123599987477
5450,0.048245282003190365,0.0005427920026704669,0.06652290800120682
5500,0.049035517995944244,0.0005485319986473769,0.06812454800237902
5550,0.04987400199752301,0.0005503279983531683,0.0693124639976304
5600,0.0512186819978524,0.0005593599961139262,0.07082918600179255
5650,0.051618640002561736,0.0005629339988809079,0.07184908399824053
5700,0.0525432579999324,0.0005702840012963861,0.07297220399370417
5750,0.053702487999107686,0.0005787900008726865,0.07440891799749806
5800,0.054822505998890846,0.0005807600019033998,0.07607256599585525
5850,0.05565551599953324,0.0005864880001172423,0.07708476000232622
5900,0.05631209600483999,0.0005892519978806377,0.07819472400587983
5950,0.05724629399948753,0.0005920940008945763,0.07953721999772824
6000,0.05811666999827139,0.0005995540006551892,0.08055829999619163
6050,0.05938429999630898,0.0006070660054683686,0.08203402800019831
6100,0.06013253399985843,0.0006145340006332845,0.08309972600545734
6150,0.061204728002194314,0.0006162659986875951,0.08497484799241647
6200,0.06224441600730643,0.0006217119912616908,0.08584962599212304
6250,0.06331262000254355,0.0006298559997230768,0.08731407400220632
6300,0.06426539600011892,0.0006340880028437823,0.08878769799834117
6350,0.06548216200084425,0.0006422840012237429,0.09041959799593315
6400,0.06629600399872287,0.0006414899975061417,0.09195917999604716
6450,0.06742204400710762,0.0006483259983360767,0.09296745400060899
6500,0.06872053000493906,0.0006561219959985465,0.09524634000612422
6550,0.07022983799572102,0.0006651379959657788,0.09661015799851157
6600,0.07082888999721035,0.0006696780049242079,0.0981406400015112
6650,0.07198093200451694,0.0006745219987351447,0.10008544999873266
6700,0.07345149200060405,0.0006751099997200072,0.10115201999899
6750,0.07460841999854892,0.0006809880002401769,0.10233082199818455
6800,0.0758580900018569,0.000695938003482297,0.10418180799577385
6850,0.07717896799789742,0.0006970219989307225,0.10541119600180536
6900,0.0783211760071572,0.0007058820023667068,0.10644909199443646
6950,0.07919827599660494,0.0007074359979014844,0.10809162399847992
7000,0.08042808000231162,0.000716021996922791,0.10922425999771804
7050,0.0820378659979906,0.0007166899973526597,0.11103086200077086
7100,0.08305384399718604,0.0007203080039471387,0.11258872399805114
7150,0.08445242199697532,0.0007283939968328923,0.11418215000187047
7200,0.08563355999533087,0.0007264620019122958,0.1156616220017895
7250,0.08691100200638174,0.0007476740027777851,0.11733076399425045
7300,0.08788059200393036,0.0007486920047085732,0.11926422199700028
7350,0.08909793799859472,0.0007506419997662305,0.12082155999960378
7400,0.09040781400166452,0.0007547179993707687,0.12342047800077126
7450,0.09189450200414286,0.0007651459972839803,0.1255380859936122
7500,0.09264107000082732,0.0007718579994980246,0.12708697400055827
7550,0.09340760600171052,0.0007774020009674132,0.12896142600104213
7600,0.09516923400107771,0.0007771840016357601,0.13067378000356256
7650,0.09592681800015271,0.0007874219969380647,0.13252867799950763
7700,0.09746360600576737,0.0007886819983832538,0.13437958199880085
7750,0.09807649800204672,0.0007957060018088668,0.13621196800027974
7800,0.09896211199928075,0.0008081319986376911,0.1385371420031879
7850,0.1003156339994166,0.0008045440062414854,0.14082738800090738
7900,0.10133751000277698,0.0008176359930075705,0.14133632799843326
7950,0.10283951600664296,0.0008153480011969805,0.142824025999289
8000,0.10472724999533967,0.0008198339981026947,0.14405703199794517
8050,0.10634465800481849,0.0008312239940278232,0.14632617000024767
8100,0.10712810599827208,0.0008287880045827478,0.14904118399135768
8150,0.10861478199833073,0.0008328800008166582,0.15145036000176332
8200,0.1097558920038864,0.0008392440027091652,0.15220520799746737
8250,0.1109556580008939,0.0008561240008566528,0.1535890980018303
8300,0.11202550199697725,0.0008598299999721348,0.15601160199730657
8350,0.11292033000499942,0.0008634780009742826,0.15817523800418712
8400,0.11463053000508808,0.000878270004177466,0.1595645239984151
8450,0.11579178599757142,0.0008713640004862099,0.16149361200397835
8500,0.11712507000193,0.0008779999986290931,0.163779112000484
8550,0.11864615400205367,0.0008826859993860126,0.1649917359999381
8600,0.12010638800216838,0.0008957180043216795,0.16662095800973475
8650,0.12163706200080923,0.000895681994734332,0.16842186599620618
8700,0.12313783000339754,0.0009000040090177209,0.17147814599913544
8750,0.12491017000284046,0.0009004159970209002,0.17403968800092115
8800,0.12724936799728312,0.000910950000397861,0.17442490600049496
8850,0.12889251400018112,0.0009235300042200834,0.17663490799837744
8900,0.1309164420061279,0.0009235920035280288,0.1785816999990493
8950,0.13229129999759606,0.0009301559999585152,0.17956683600204998
9000,0.13267067000153474,0.0009320640005171299,0.18158151599694974
9050,0.13345100200385787,0.0009476459980942309,0.18391765000298618
9100,0.13508381799911148,0.000957179997349158,0.18557102600228972
9150,0.13656590600148774,0.0009529060020577163,0.1898601100000087
9200,0.13890263799694366,0.0009658539958763868,0.19318425200297498
9250,0.1398352940042969,0.0009611820010468363,0.19474457200383768
9300,0.14137352400110104,0.0009698300005402415,0.19696737800491973
9350,0.14318985399790107,0.0009745640039909631,0.19968888399656862
9400,0.14447370800189674,0.0009847480058670045,0.20061045399750582
9450,0.14515923999715596,0.000988007994601503,0.20233791800448672
9500,0.14665118000120855,0.0009945359930861742,0.20361325799836777
9550,0.14770675600040703,0.0009928620117716491,0.2049335219943896
9600,0.14953532199608163,0.0010020439990330488,0.20704086600104346
9650,0.15085148400045,0.0010148979991208762,0.21000430400832557
9700,0.1527281800028868,0.0010213659983128308,0.21325798599747942
9750,0.15431047799880615,0.001025072003249079,0.21711184200248682
9800,0.15579625200363809,0.001030402003088966,0.21868833199958318
9850,0.1576330159965437,0.00102906399872154,0.21988816800061614
9900,0.15991677000070922,0.001042381995357573,0.22109067600104026
9950,0.16201992199756204,0.001042122000362724,0.22305047399713657
10000,0.16385986399604008,0.0010536840057466179,0.2242284360039048
